年级,实验名称,必做/选做
1-2年级,观察描述常见物体的特征,必做
1-2年级,观察空气的特点,必做
1-2年级,观察水的特点,必做
1-2年级,观察常见材料的外部特征,必做
1-2年级,观察某些物质在水中的溶解现象,必做
1-2年级,探究磁铁对物体的吸引作用,必做
1-2年级,观察常见的植物,必做
1-2年级,观察常见的动物,必做
1-2年级,利用太阳的位置辨认方向,必做
1-2年级,观察不同形状的月亮,必做
1-2年级,观察常见的天气现象,必做
1-2年级,借助放大镜观察物体,必做
1-2年级,利用简单工具进行简单的制作，如设计制作纸桥、制作纸蜻蜓等,必做
3-4年级,空气占据空间的实验,必做
3-4年级,观察热空气上升现象,必做
3-4年级,观察水沸腾和结冰的现象,必做
3-4年级,用尺子、温度计、量筒等工具测量物体特征,必做
3-4年级,探究影响物质溶解快慢的因素,必做
3-4年级,探究磁铁的磁极和磁极间的相互作用,必做
3-4年级,使用指南针辨别方向并制作简易指南针,必做
3-4年级,根据物质特点分离混合在一起的物质,必做
3-4年级,连接简单电路,必做
3-4年级,利用简单电路判断物体的导电性,必做
3-4年级,观察影子形成的原因,必做
3-4年级,观察物体发声时的振动现象,必做
3-4年级,探究声音的传播方向,必做
3-4年级,探究声音高低、强弱变化的原因,必做
3-4年级,制作产生不同高低、强弱声音的简易装置,必做
3-4年级,观察物体热胀冷缩的现象,必做
3-4年级,观察人体呼吸器官、消化器官的模型,必做
3-4年级,测量肺活量、脉搏,必做
3-4年级,探究阳光、空气、水、温度对植物生存的影响,必做
3-4年级,观察植物的根、茎、叶、花、果实、种子,必做
3-4年级,种植一株植物（如凤仙花），并观察其一生的变化,必做
3-4年级,观察根的吸水性,必做
3-4年级,观察茎的运输作用,必做
3-4年级,观察记录一天中阳光下物体影子的变化,必做
3-4年级,使用仪器测量和记录气温、风力风向、降雨量等气象数据,必做
3-4年级,探究土壤的主要成分,必做
3-4年级,观察、描述和测量物体的运动,必做
3-4年级,养殖一种小动物（如家蚕、家兔等），并观察其生长和繁殖,必做
3-4年级,模拟制作月球环形山,必做
3-4年级,利用科学原理设计制作简易装置，如传声器、听诊器等,必做
